"Step","rstarcoder_sweep_routed_mlp_scaling_2 - eval/router/index_hist"
"430","{""_type"":""histogram"",""values"":[0,0,0,0,42,5,99,31,11,0,14,14,5,2,8,28,5,11,0,15,11,47,28,21,2810,2,2,95,1,40,81,10,4,17,1,80],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"440","{""_type"":""histogram"",""values"":[0,0,0,0,43,8,143,35,13,0,22,17,5,3,9,35,5,15,1,20,10,85,34,27,2810,3,2,294,0,67,110,18,5,25,1,128],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"450","{""_type"":""histogram"",""values"":[0,0,0,0,48,11,167,27,14,1,21,15,5,7,9,38,3,14,1,22,10,121,39,22,2810,3,2,610,1,92,138,25,7,35,2,160],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"460","{""_type"":""histogram"",""values"":[0,0,0,0,48,13,213,29,18,1,28,21,5,8,7,43,3,18,1,24,11,193,45,26,2809,4,2,1124,2,127,210,28,4,30,3,214],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"470","{""_type"":""histogram"",""values"":[0,0,0,0,45,13,175,25,17,1,19,18,5,10,8,35,3,15,2,24,9,133,42,23,2809,4,2,682,1,103,165,25,5,23,2,170],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"480","{""_type"":""histogram"",""values"":[0,0,0,0,29,10,132,20,17,0,14,16,5,8,8,32,3,14,1,23,9,71,38,21,2810,3,2,540,0,73,122,20,7,20,2,138],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"490","{""_type"":""histogram"",""values"":[0,0,0,0,15,5,104,20,18,1,10,13,4,7,7,27,3,12,1,26,9,39,33,16,2810,2,2,467,0,49,72,12,4,14,2,96],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"500","{""_type"":""histogram"",""values"":[0,0,0,0,12,6,77,15,15,0,3,12,4,7,4,21,3,10,1,26,9,22,29,9,2810,2,2,279,0,36,37,8,5,11,1,65],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"510","{""_type"":""histogram"",""values"":[0,0,0,0,12,7,71,15,13,0,3,12,4,7,6,19,3,8,1,27,9,18,28,8,2810,1,2,215,0,24,33,6,4,9,1,56],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"520","{""_type"":""histogram"",""values"":[0,0,0,0,10,7,68,15,17,1,3,11,4,6,5,19,3,9,1,25,9,17,32,8,2810,1,2,194,0,26,35,6,4,8,1,57],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"530","{""_type"":""histogram"",""values"":[0,0,0,0,10,6,67,13,17,1,3,13,3,7,4,23,3,11,1,24,8,12,32,8,2810,2,2,164,0,29,34,6,4,6,1,51],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"540","{""values"":[0,0,0,0,11,5,58,11,15,0,1,11,2,7,3,19,3,10,1,22,7,13,31,10,2810,0,2,98,0,23,27,6,4,6,1,43],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"550","{""_type"":""histogram"",""values"":[0,0,0,0,11,5,51,10,14,0,1,10,2,5,3,19,3,7,1,25,8,11,27,8,2810,0,1,69,0,20,24,7,4,3,1,37],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"560","{""_type"":""histogram"",""values"":[0,0,0,0,11,5,51,9,14,0,1,11,2,4,3,18,3,7,1,25,8,9,25,9,2810,0,1,63,0,20,26,8,3,3,1,34],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"570","{""_type"":""histogram"",""values"":[0,0,0,0,11,4,44,10,16,0,1,11,2,3,3,19,3,9,1,26,9,11,24,7,2810,0,1,60,0,19,24,8,4,5,1,35],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"580","{""_type"":""histogram"",""values"":[0,0,0,0,11,3,47,8,16,0,1,11,2,3,3,18,3,8,1,23,8,11,26,8,2810,0,1,61,0,19,23,8,4,3,1,34],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"590","{""_type"":""histogram"",""values"":[0,0,0,0,10,2,44,7,16,1,0,11,2,2,3,19,3,7,1,23,8,8,24,5,2810,0,0,51,0,19,23,8,4,4,1,37],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"600","{""_type"":""histogram"",""values"":[0,0,0,0,10,3,44,13,14,1,0,11,2,3,3,19,3,9,1,24,9,11,25,8,2810,0,1,57,0,19,23,8,3,3,1,36],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"610","{""_type"":""histogram"",""values"":[0,0,0,0,10,3,42,17,14,1,0,12,2,3,3,18,3,11,1,23,9,10,24,8,2810,0,1,60,0,23,24,8,3,4,1,38],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"620","{""_type"":""histogram"",""values"":[0,0,0,0,10,3,45,18,14,1,0,11,2,4,3,19,3,9,1,25,9,11,26,8,2810,0,1,64,0,23,32,6,3,4,1,40],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"630","{""values"":[0,0,0,0,10,4,47,18,13,1,1,11,3,4,3,19,3,10,1,25,8,11,26,9,2810,0,1,66,0,20,29,6,2,4,1,37],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"640","{""_type"":""histogram"",""values"":[0,0,0,0,11,6,48,19,13,0,2,11,3,4,3,19,3,10,1,24,8,13,28,9,2810,0,1,67,0,22,32,7,2,3,1,37],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"650","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,45,20,13,1,2,13,3,4,3,17,3,11,1,24,9,13,27,10,2810,0,1,70,0,21,32,6,3,4,1,38],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"660","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,39,15,12,1,0,12,2,4,4,14,3,11,1,23,9,12,24,7,2810,0,1,49,0,20,26,7,2,2,1,33],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"670","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,33,11,11,1,0,12,2,3,4,10,3,9,1,23,7,13,23,6,2810,0,1,37,0,18,23,7,2,2,1,30],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"680","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,30,12,11,1,0,10,2,3,5,11,3,9,1,22,7,14,25,5,2810,0,1,35,0,19,21,7,2,2,1,31],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"690","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,31,11,11,1,0,11,2,3,4,12,3,9,1,22,7,14,25,5,2810,0,1,36,0,19,22,8,2,2,1,31],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"700","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,30,10,9,1,0,11,2,3,4,13,3,9,1,22,7,14,25,5,2810,0,0,33,0,18,21,8,2,2,1,31],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"710","{""_type"":""histogram"",""values"":[0,0,0,0,10,5,30,9,9,0,0,11,2,3,4,13,3,8,1,23,7,14,25,5,2810,0,0,33,0,20,22,7,2,2,1,31],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"720","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,32,12,10,0,0,11,2,2,4,12,3,9,1,23,7,16,26,6,2810,0,0,33,0,20,20,8,2,2,1,31],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"730","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,31,12,10,1,0,12,2,2,4,11,3,9,0,23,7,13,24,5,2810,0,0,32,0,19,21,8,2,2,1,30],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"740","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,28,9,10,0,0,12,2,2,4,12,3,8,1,23,7,13,24,5,2810,0,0,31,0,19,22,8,2,2,1,28],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"750","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,29,10,10,0,0,11,2,2,4,12,3,9,1,23,7,14,24,5,2810,0,0,32,0,19,21,8,2,2,1,27],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
