"Step","rstarcoder_sweep_routed_mlp_30 - eval/router/index_hist"
"310","{""_type"":""histogram"",""values"":[0,0,0,0,569,40,174,9,8,199,65,156,2,0,14,629,8,51,121,10,12,1207,52,6,2810,9,2,3,172,30,34,4,15,1,7,937],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"320","{""_type"":""histogram"",""values"":[0,0,0,0,377,31,160,9,7,184,54,132,3,0,9,536,10,43,95,9,12,1075,46,4,2810,6,2,2,133,38,25,3,15,1,7,789],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"330","{""_type"":""histogram"",""values"":[0,0,0,0,279,27,151,8,7,177,52,132,3,0,9,490,9,36,85,8,12,1005,50,4,2810,6,1,3,121,30,23,4,13,2,7,695],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"340","{""_type"":""histogram"",""values"":[0,0,0,0,251,27,153,9,7,168,48,129,3,1,9,489,8,42,96,8,12,1033,54,4,2810,6,1,4,124,33,24,3,13,2,6,707],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"350","{""_type"":""histogram"",""values"":[0,0,0,0,237,27,144,10,7,136,52,125,3,1,9,456,8,36,100,9,12,1019,46,3,2810,5,1,3,119,39,27,3,11,1,6,680],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"360","{""_type"":""histogram"",""values"":[0,0,0,0,227,27,123,11,7,125,52,117,3,0,10,419,9,36,65,10,12,916,42,3,2810,6,1,2,106,34,19,4,11,2,6,617],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"370","{""values"":[0,0,0,0,211,22,113,11,7,118,50,113,3,0,11,357,10,26,44,9,12,757,45,3,2810,5,0,4,96,30,14,4,12,2,6,536],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"380","{""values"":[0,0,0,0,210,19,110,10,7,119,47,114,3,0,10,344,9,29,39,9,12,707,42,3,2810,4,0,3,94,35,15,4,12,2,6,513],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"390","{""_type"":""histogram"",""values"":[0,0,0,0,207,18,121,12,7,120,46,119,3,0,9,345,10,33,36,9,12,690,41,4,2810,4,0,2,92,32,17,4,12,1,6,502],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"400","{""_type"":""histogram"",""values"":[0,0,0,0,192,18,112,13,7,120,43,114,3,0,10,338,10,34,35,9,12,666,41,4,2810,4,0,3,88,33,17,4,12,1,6,491],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"410","{""_type"":""histogram"",""values"":[0,0,0,0,182,17,111,12,7,118,41,110,3,1,10,326,10,31,34,8,12,661,38,4,2810,4,0,3,87,34,18,4,12,2,6,484],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"420","{""values"":[0,0,0,0,175,17,111,12,7,113,41,107,3,1,8,324,9,29,34,8,12,651,40,3,2810,5,0,3,88,34,15,4,12,1,6,478],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"430","{""_type"":""histogram"",""values"":[0,0,0,0,172,19,104,14,7,113,35,104,3,1,9,317,10,27,30,8,12,651,40,3,2810,4,0,3,80,33,15,4,11,1,6,469],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"440","{""_type"":""histogram"",""values"":[0,0,0,0,169,19,105,12,7,111,36,106,3,1,10,316,10,28,32,8,12,633,37,4,2810,5,0,3,74,30,15,4,11,1,6,468],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"450","{""_type"":""histogram"",""values"":[0,0,0,0,171,18,109,13,7,115,37,106,3,1,10,308,9,30,31,8,12,636,34,4,2810,5,0,3,77,32,16,4,12,1,6,477],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"460","{""_type"":""histogram"",""values"":[0,0,0,0,168,18,111,12,7,111,36,107,3,0,10,313,10,28,33,8,12,635,37,4,2810,5,0,3,79,30,15,4,12,1,6,475],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"470","{""_type"":""histogram"",""values"":[0,0,0,0,188,18,113,12,6,108,44,113,3,0,9,322,10,32,32,8,12,644,39,3,2810,4,0,2,83,31,16,4,12,2,6,493],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"480","{""values"":[0,0,0,0,189,14,114,12,6,105,47,116,3,0,10,342,10,33,35,8,12,657,41,3,2810,4,0,2,84,30,17,4,12,2,6,492],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"490","{""values"":[0,0,0,0,194,18,116,12,7,103,45,114,3,0,9,331,10,33,35,9,12,658,40,3,2810,4,0,3,83,31,17,4,11,1,6,490],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"499","{""_type"":""histogram"",""values"":[0,0,0,0,194,16,116,13,7,104,48,108,3,0,10,329,9,34,32,8,12,670,40,3,2810,4,0,2,80,30,18,4,11,3,6,495],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
